livre.chapitre.verset,Bafia
1CO.1.11,"Ɓɔɔsoŋ̀, ɓisuulɛ ɓum ɓɛdɛŋ ɓɛ ɓi naa ì Kilowee ɓɛ nkpaa mɛ̀ lɛ, ɓì rì rì ɓɛ̀paàzì ɓi nyìinyìm wìn. "
1CO.1.12,"Nkɔ̀nkɔn lɛ nkpaà yɛɛ lɔɔ lɛ, ɓì rì lɛ: Rì wàànɛn miì ù kpaa lɛ: Mɛ̀ ǹɗì ŋwaà Pol; roànɛ lɛ: Mɛ̀ ǹɗì ŋwaà Apolos, roàmbog lɛ: Mɛ̀ ǹɗì ŋwaà Sefas, roàdɛŋ tì lɛ: Mɛ̀ ǹɗì ŋwaà Kiris. "
1CO.1.13,Kiris à ti nya ǹlàngakɛn? Gìn Pol à wughà nya ɓi kɔrɔs ɓisu win? Nsoò lɛ ɓɛ ɓaɓtàkà nya mìni ɓi ɗii ɗi Pol gìn? 
1CO.1.14,Ǹfaa Bɛ̀ll ɓìtògsɛ̀n lɛ m̀ɓàɓtìghà ɓi kibog ki ɓi mìni i ki cee ɓi lɛ ɓɛ̀ Kirispus ɓɛɛ̀ Gayus. 
1CO.1.15,Fɔlɔɔ nnɛ wààdɛŋ ù yin lɛ ù kpaa lɛ ɓɛ ɓaɓtìghà mìni ɓi ɗii ɗyɛ̀m. 
1CO.1.16,"M̀ɓàɓtìghà tì girig naa ì ɓum ì Sitefanas ɓi ɓɛg ànɛ a ɓɛ̀ro ɓɛmbog, ǹ-yii ɓi nkòo m̀ɓàɓtìghà tì ŋwaàdɛŋ."
1CO.1.17,"Ɓisuulɛ Kiris à romgày ɓi mɛ lɛ mɓààɓàɓtì ɓum, wɔ̀lɛ à romgày mɛ̀ lɛ nkakali Syeesyee à Ɓɔlɛ, ǹki kì kiɓan kiǹ kɛ̀ɛ̀ ɗyomzɛ̀n ɗi ɓitòkì, lɛ di kɛ̀ kɛɛ̀ ɓa yɛ̀ɛ kɔrɔs à Kiris à rì com ki zɛy. "
1CO.1.18,"Ɓisuulɛ rìlààlàmɓɛ̀n ɗi kɔrɔs ɗi ri kìɓan ki kiyèg ɓisuu ɓumɓɛ ɓɛ ghɛɛ̀sɛɛ kì ɗyaŋì, wɔ̀lɛ ɓisuu ɓisi ɓɛ tì rì rì cɛɓ, ɗi ri ìtèɗ wu Bɛ̀ll."
1CO.1.19,"Lɛ ki ri kì kànɛn lɛ: Ǹɗì ɓiì yogsii ɗyomzɛ̀n ɗi ɓumɓɛ ɓɛ wom̀zɛɛ, ǹki tììsi riyi ɗi ɓɛyiì-ɓìɓan. "
1CO.1.20,Nni ŋwaà ɗyomzɛ̀n im̀be? Ǹɗèsàg ɓìdɔ̀gsɛna im̀be? Nni ǹkìì-nyoey anɛ ɓi ziinɛ à rì fe? Bɛ̀ll à rèsìghà lɛ ɗyomzɛ̀n ɗi ɓumɓɛ ɓi ziinɛ ɗi ri kìyèg. 
1CO.1.21,"Lɛ yɛ̀ɛ ɓumɓɛ ɓi ziinɛ ɓɛ ɓaghà ɓi lɛ ɓɛ yi Bɛ̀ll rì ɗyomzɛ̀n ɗyaa jàŋ inɛ ɗyomzɛ̀n ɗi Bɛ̀ll ɗyɛɛ̀ rèeresɛ̀n, nni Bɛ̀ll à kɔ̀ngà lɛ a ghɛɓsi ɓumɓɛ ɓɛ gherɛɛ nyi, rì kìyèg ki kiɓan ki ɓìsiì làalamɓɛ̀n. "
1CO.1.22,"Ɓɛ̀yudɛ̀n ɓɛɛ̀ tɔtɔg dàm yi ɓiɓan, Gìrɛg yɔ̀ɔ̀ tɔtɔ̀g ɗyomzɛ̀n. "
1CO.1.23,"Wɔ̀lɛ ɓìsiì làalam̀ɓɛ̀n Kiris ànɛ ɓɛ kpangà ɓi kɔrɔs aɗyoo, kìɓan kiǹ ki ri kìɓan ki kɛɛ̀ kɛ̀ɛkɛɓtì Ɓɛ̀yudɛ̀n fìɓàg, ki ɓa kìɓan ki kiyèg ɓisuu ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n. "
1CO.1.24,"Wɔ̀lɛ ɓi ɓɛ̀roɓɛ Bɛ̀ll à reŋighà, à tumɛ̀n lɛ Ɓɛ̀yudɛ̀n à kpaŋ lɛ ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n, Kiris à rì lɛ nyi ìtèɗ wu Bɛ̀ll, nyi ɗyomzɛ̀n ɗi Bɛ̀ll. "
1CO.1.25,"Ɓisuulɛ kìɓan kicèm ki Bɛ̀ll à kìi ki pisɛ̀n kìyèg ki kiɓan, ɓi rìghɛn ɗi ɓum, ki cee ɗyomzɛ̀n ɗi ɓum, ki ɓɛ ghɛɛ ìkɔ̀g wu Bɛ̀ll miì, ki cee ìtèɗ wu ɓum."
1CO.1.26,"Ɓɔɔsoŋ̀, ghɛɛna lɛ, ɓi mìni ɓɛ Bɛ̀ll à reŋìghà, ɓum ɓɛ ɗyomzɛ̀n ɓɛ tɔɔ ɓi, ɓi rìghɛn ɗi ɓum, ɓɛ̀tèteɗ ɓɛ̀ kɛɛ̀ tɔɔ, ɓum ɓɛ mii ɓɛ̀ kɛɛ̀ ki tɔ̀ɔ̀. "
1CO.1.27,"Wɔ̀lɛ Bɛ̀ll à ɓɔ̀ngà ɓìɓan ɓi ziinɛ yɛɛ̀ seesee lɛ ɓìyèg ɓi ɓiɓan, lɛ a fa ɓum ɓɛ ɗyomzɛ̀n ǹtoòrìɗ, à ɓɔ̀n ɓyom ɓi ɓi ri kɛ̀ɛ̀ ìtèɗ, lɛ a fa ɓɛ̀tèteɗ ǹtoòrìɗ. "
1CO.1.28,"Bɛ̀ll à ɓɔ̀ngà ɓyom ɓi nnyuŋì ɓi ɓi ziinɛ, rì ɓyom ɓi ɓum ɓɛɛ̀ sɛɛsɛɛ̀tì, ɓi ɓi yin ɓɛ bimiɗ ɓɛ ɓyom lɛ, a ghaasi ɓyom ɓi ɓi ri lɛ gìn i ɓyom, ɓyom ɓi zɛy. "
1CO.1.29,Lɛ di mum kɛ̀ɛ nyìnɛn càg ɓi dwey ɓi mis mɛ Bɛ̀ll. 
1CO.1.30,"Wɔ̀lɛ Bɛ̀ll à ràɗkà mìni rì Yeesus Kiris à ki kì lɛ Kiris a ɓa ɗyomzɛ̀n ɗis, fɔɔnnɛ tì ti ɓum ɓɛ saaɗ ɓi mis mii lɛ Kiris; tì ti ɓi nɗɛli wulɛ ti ghɛɓ cɛɓ ki tɛnɛn, tì ki ɓa ɓumɓɛ ɓɛ ti ɓɛ̀kòrɛn ɓi kìɓe. "
1CO.1.31,"Fɛlɛ yɛ̀ɛ ki ri kì kànɛn lɛ: Ŋwaànɛ à kɔ̀ni kalɛn, a kaàkàlɛ̀n ɓi Kan ɓi ɗùm."
1CO.2.1,"Ɓɔɔsoŋ̀, cààmɛ̀n ki mɛ̀ɛmiɗ ǹ-yùghà a lɔ̀ŋkin lɛ nghagsi mìni kɔɔ̀kɔɔ̀ à kìɓan a Bɛ̀ll ànɛ à ɓaghà a rìnyam, m̀ɓaghày ɓi ri ɓìtòkì ɓi ɓi yeesɛɛ rìwog, nsoò lɛ coo ɗyomzɛ̀n. "
1CO.2.2,"Lɛ ǹɗengà ɓi nɗem wɛ̀m lɛ màa yi ɓi kiɓan kidɛŋ cààmɛ̀n kìcèm ki ǹɗì a lɔ̀ŋkin, i ki cee ɓi lɛ Yeesus Kiris, ki ki ɓa lɛ Yeesus Kiris ànɛ ɓɛ kpangà ɓi kɔrɔs. "
1CO.2.3,"Fɔɔnnɛ m̀ɓaghà foo a lɔ̀ŋkin lɛ rì ìkɔ̀g, rì ìris, ǹki nìniŋi lɛ kpàg kpàg kpàg. "
1CO.2.4,"Rìrèsàg ɗyɛm̀, rì ɓìɓan ɓi Bɛ̀ll ɓi ǹkpaakpààghà, ɓi ɓaghà ɓi ri ɓɛ̀syeesyee ɓɛ jɛ̀ɛ̀ ɓɛ ɓɛ ti ɓɛ ɓalàg yì ɓi ɗyomzɛ̀n ɗi ɓum, ɗi ki syògi ɓɔ mɛ̀rem, ɓi ɓaghà lɔŋ ɓiɓan ɓi Ǹghay à Bɛ̀ll yɛɛ rerèsìghà saaɗ ànɛ miì, rì ìtèɗ wii. "
1CO.2.5,"Lɛ di rìgherɛ̀n ɗin ɗyɛ̀ kɛɛ̀ saagh ǹto ɓi ɗyomzɛ̀n ɗi ɓum, ɗyɛɛ saagh lɔŋ ǹto ɓi-tèɗ wu Bɛ̀ll. "
1CO.2.6,"Kɔlɛ ɗyomzɛ̀n ɗidɛŋ ɗyɛɛ̀ɗi ɓìsiì rèresi ɓɛ̀kìristɛ̀n ɓɛ ɓɛ mɛ kadɛ̀n; ɗyomzɛ̀n ɗiǹ ɗi yin ɗyomzɛ̀n ɗi ɓi ziinɛ, nsoò lɛ ɗi mɛfòm mɛ ɓi ziinɛ, mɛ mɛɛ ɓiì ɓaà mɛ̀tììsiyɛn. "
1CO.2.7,"Ɓìsiì kakali ɓum kìɓan ki ɗyomzɛ̀n ɗi Bɛ̀ll ɗi ɗi rimi ɗi ki ɓa ɗi nyamɛn; ɗyomzɛ̀n ɗiǹ ɗyɛɛ̀ɗi Bɛ̀ll à lokà kì ɓɔ̀ni abɛ̀y ɓisuu rikem ɗis, di ziì ka kilɛn ɓi. "
1CO.2.8,"Nsoò rìfòm ɗifog ɗi ɓi mɛ̀fòm mɛ ɓi ziinɛ ɗi yighà ɓi ɗyomzɛ̀n ɗiǹ; i ki lɛ mɛɛ yi ɗyɔ, di mɛ ɓaghà ɓi lɛ mɛ ghɛrì Kan ànɛ à rì ǹkemì ɓi kɔrɔs. "
1CO.2.9,"Fɛlɛ yɛ̀ɛ ki ri kìkànɛn lɛ: Com ki ɗis ɗi ghɛngà ɓi, com ki ìreè wu wokà ɓi, ki ǹɗem wu mum wu fekà ɓi, Bɛ̀ll à pègsɛ̀ngà kɔ ɓisuu ɓumɓɛ ɓɛ keesii nyi."
1CO.2.10,"Ɓìsi ɓɛɛ̀ɓɛ Bɛ̀ll à mɛ rèsi ɗyomzɛ̀n ɗiǹ rì Ǹghay, ɓisuulɛ Ǹghay à ti à timgì ɓìɓan ɓìcèm, nsoò ɓɛ̀fèg ɓɛ Bɛ̀ll ɓɛ ɓɛ ri ɓɛ̀rimɛn lɛ kɔɔ̀kɔɔ̀. "
1CO.2.11,"Ghɛn yɛɛ ri lɛ à yi com ki ki ri ɓi nɗem wu mum, i ki yin lɛ nghay wu mum à rì rì wɔ; fɔlɔɔ nnɛ fèg ànɛ Bɛ̀ll à rì rì nyi, ŋwaàdɛŋ à yin lɛ à yi i ki yin lɛ Ǹghay à Bɛ̀ll."
1CO.2.12,"Ɓi ɓɛg ànɛ a lɔ̀ŋkis, àa ǹghay wu ɓi ziinɛ wɛɛ̀wu tì tekà, lɔŋ Nghay ànɛ à rìì yɛ̀ɛ Bɛ̀ll lɛ di ti yi ɓyom ɓi Bɛ̀ll à faghà ɓìsi ɓi geesɛ̀n yìì. "
1CO.2.13,"Nni ɓìsii yin ɓiì kpaakpaa kiɓan ki rì jɛ̀ɛ̀ yi tì teriì ɓi ɗyomzɛ̀n ɗi ɓum; ti kpaakpaa lɔŋ kɔ rì jɛ̀ɛ̀ yi Ǹghay a rèresi ɓisi, tì ki rèresi ɓumɓɛ ɓɛ ri rì Ǹghay ànɛ̀n ɓɛ̀saaɗ ɓɛ ɓi ɓìɓan ɓi ɓi Nghay lɛ tɛntɛ̀ɛ̀n. "
1CO.2.14,"Ŋwaànɛ à yin ɗi Ǹghay à Bɛ̀ll, à yin lɛ à teɗ ɓìɓan ɓi Ǹghay à Bɛ̀ll a rìì rì ɓyɔ ɓisuulɛ ɓìɓan ɓiǹ ɓi ri ɓìyèg ɓi ɓiɓan ɓi rìghɛn ɗii, fɔɔnnɛ à yin lɛ à yi ɓyɔ̀, lɛ ɓi ri ɓìɓan ɓi ɓɛɛ̀ fiɓɓag ri Ǹghay. "
1CO.2.15,Kìɓan kifog ŋwaànɛ àrì rì Nghay à Bɛ̀ll à ti à yɔ̀mgì ɓyom ɓìcèm; mum à ki yin lɛ à yɔ̀m nyi. 
1CO.2.16,"Lɛ ghɛn yɛɛ yighà fèg à Kan, lɛ a resi nyi? Wɔ̀lɛ ɓìsii ri rì fèg à Kiris."
1CO.3.1,"Ɓɔɔsoŋ̀! Ɓi ɓɛg ànɛ a lɔ̀ŋkɛm̀, ǹtòòghrɛ̀ngà ɓi ri mìni yɛ̀ɛ rì ɓumɓɛ ɓɛ ti rì Ǹghay à Bɛ̀ll, wɔ̀lɛ ǹtòòghrɛ̀ngà lɔŋ ri mìni yɛ̀ɛ rì ɓumɓɛ ɓɛ ri ɓumɓɛ ɓi mɛ̀mùù, lɔŋ yɛ̀ɛ rì ɓumɓɛ ɓɛ kaka ɓɔn ɓɛsàg ɓi Kiris. "
1CO.3.2,"Milig mɛɛ̀mɛ ǹfaghà mìni àa ɓìɗilàg ɓi ɓi terì, ɓisuulɛ ɓì ɓaghà ɓi lɛ ɓì cenɛ̀n ɓyɔ rìɗi, nsoò ɓigomìnɛ, ɓì ka yin gi lɛ ɓì cenɛ̀n ɓyɔ rìɗi, ɓisuulɛ ɓì kaka ɓumɓɛ ɓi mɛ̀mùù. "
1CO.3.3,"Yɛ̀ɛ ɓì kaka lɛ rì yàaka, rì ɓɛ̀paàzì ɓi nyìinyìm wìn, fɔlɔɔ a yin nya ɓiì rèresii lɛ ɓì rì ɓumɓɛ ɓi mɛ̀mùù, rì tì lɛ, ɓi ghɛghɛɓ lɔŋ yɛ̀ɛ ɓum ɓɛ̀cèm? "
1CO.3.4,"I kìbog ki ɓi mìni ki kpaa lɛ: Mɛ̀ ǹɗì ŋwaà Pol, roàmbog lɛ: Mɛ̀ ǹɗì ŋwaà Apolos, rìkì ɗin ɗi ri rìkì ɗi ɓum ɓɛ̀cèm ɓɛ ri lɛ ɓɛ kì! "
1CO.3.5,"Cɛ kɛɛ ri min lɛ Apolos? Cɛ kɛɛ ri lɛ Pol? Tì rì lɔŋ ɓɛ̀kìì-ɓìsay ɓɛ ɓɛ kighà lɛ ɓi gherɛn Bɛ̀ll, rìkì ɗi mum ǹcèm ɗi ɓa lɔŋ yɛ̀ɛ Kan à faghà nyi ìtèɗ wulɛ a ki. "
1CO.3.6,"Mɛ̀ m̀ɓɛ̀là boo ì ɓyom, Apolos à yù kì tùɓii, kìɓan kifog Bɛ̀ll yɛɛ kighà lɛ ɓyom ɓyɛɛ roò. "
1CO.3.7,"Fɔlɔɔ nnɛ ŋwaànɛ à ɓɛ̀li boo ì ɓyom à yin com nsoò roànɛ à tùɓii yɔ̀, lɔŋ Bɛ̀ll ànɛ à ti à kìlàg lɛ ɓyom ɓyɛɛ roò, nnyɛɛ ri com. "
1CO.3.8,"Lɛ ŋwaànɛ à ɓɛ̀li boo, rì ŋwaànɛ à tùɓii ɓɛ ri com kìfog, nni mum ǹcèm à rì ɓiì terì mɛ̀lèɓ mɛ mɛ ghɛɛ̀sɛɛ rì kìsay ki à kìghà. "
1CO.3.9,"Lɛ ɓìsiì kìki kisay ki Bɛ̀ll ǹɗaŋ, mìni yɛɛ ri dɛm i Bɛ̀ll, ɓì ki ɓa mɛɛ mɛ Bɛ̀ll a toŋtòŋ."
1CO.3.10,"Ɓi lèg à geesɛ̀n ànɛ Bɛ̀ll à kìghà mɛ̀, nnɛ ǹ-yàghɛ̀ngà kìgɔ̀ŋgɔ̀m ki mɛɛ lɔŋ yɛ̀ɛ syeesyee à ǹtoŋì-ɓìtoŋ, nni ŋwaàdɛŋ à yùghà kì toŋì ɓi kìgɔ̀ŋgɔ̀m kiǹ aɗyòò; wɔ̀lɛ mum ǹcèm à ghɛ̀ɛ̀sɛɛ kì kɔ̀rii ɗyomzɛ̀n ɗì rìkuu ɗi kitoŋ ɗi a toŋtoŋ miì. "
1CO.3.11,"Ɓisuulɛ ŋwaàdɛŋ à yin ɗi ìtèɗ wulɛ à yàghɛ̀n kìgɔ̀ŋgɔ̀m kidɛŋ ki ki yin ki ki ti kìyàghɛn, kɔ yɛɛ ri lɛ Yeesus Kiris. "
1CO.3.12,"Nsoò mum àa toŋi ɓi kìgɔ̀ŋgɔ̀m kiǹ ɗì gol, nsoò rì swiɗ à mɔ̀ɔ̀ni, nsoò rì gɔ̀g yi lònlomɛn, nsoò rì ɓìgeŋ, nsoò rì baɓ, nsoò rì zyoèy; "
1CO.3.13,"kìsay ki mum ǹcèm ki ri lɔŋ ɓiì rèsɛɛ. Ɓisuulɛ ŋwosi ɓɛyɔ̀m à ri kì lɛ ɓɛɛ yi kìsay kiǹ, lɛ ŋwos anɛ̀n à rì ɓiì rèsɛɛ ɓi ɗuu; fɔɔnnɛ ɗuu ɗyɛɛ ri biì rèsii riɓa ɗi kisay ki mum ǹcèm. "
1CO.3.14,"Ŋwaànɛ kìtoŋ kii ki ri ɓiì rɔ̀ɓi kɛ̀ kɛɛ̀ ɗig, à ɓiì terì mɛ̀lèɓ. "
1CO.3.15,"Wɔ̀lɛ ŋwaànɛ kìtoŋ kii ki ɗiigh, à ɓiì mɛ̀mi mɛlèɓ, kìɓan kifog, nyimiɗ a ghɛɓ fɛlɛ yɛ̀ɛ ŋwaànɛ à faŋii yì ɓi ɗùù."
1CO.3.16,"Ɓì yii ɓi lɛ mìni yɛɛ ri naa ìnɛ Bɛ̀ll à kɔ̀kɔrii miì, rì tì lɛ Ǹghay à Bɛ̀ll à rì ɓi mìni. "
1CO.3.17,"I ŋwaà wààghii naa ìnɛ Bɛ̀ll à kɔ̀kɔrii miì, Bɛ̀ll à wàagh gɛ girig nyi; lɛ naa ìnɛ Bɛ̀ll à kɔ̀kɔrii miì ì rì ǹtɛnɛn, nni mìni yɛɛ ki rì naa ìnɛ̀n."
1CO.3.18,"Mum kɛ̀ɛ pwààrɛn, i ŋwaàdɛŋ ànɛ ɓi mìni a fèfeg lɛ nyii ri rì ɗyomzɛ̀n ɗi ɓi ziinɛ, à ghɛ̀ɛ̀sɛɛ ki ghalì kìyèg lɛ di a ɓa min ɗi ɗyomzɛ̀n. "
1CO.3.19,"Ɓisuulɛ ɗyomzɛ̀n ɗi ɓi ziinɛ ɗi ri kìyèg ɓi mis mɛ Bɛ̀ll, fɔɔnnɛ ki ri kìkànɛn lɛ: Bɛ̀ll à ti à wɔɔsàg ɓum ɓɛ ɗyomzɛ̀n ɓi mɛ̀ghèy maa mɛ ɓɔmiɗ ɓɔ yɛɛ kpaŋiì rì mɔ. "
1CO.3.20,"Rì ti lɛ: Kan à yii ɓɛ̀fèg ɓɛ ɓum ɓɛ ɗyomzɛ̀n ɓɛ ri rì ɓɔ, à ki yi lɛ ɓɛ̀fèg ɓɛǹ ɓɛ yin com."
1CO.3.21,"Fɔɔnnɛ mum à ghɛ̀ɛ̀sɛɛ ɓi ki foŋì rìkem ɗii ɓi ɓum, ɓisuulɛ ɓyom ɓìcèm ɓi ri ɓiŋkìn. "
1CO.3.22,"Nsoò Pol, nsoò Apolos, nsoò Sefas, nsoò ziinɛ, nsoò cɛɓ, nsoò rìwu, nsoò ɓìɓan ɓi ɓi cààmɛ̀n ki, nsoò ɓi ɓi cɛɓ ki kɛɛ̀ yùyuiy, ɓyom ɓìcèm ɓi ri lɛ ɓyom ɓin. "
1CO.3.23,"Wɔ̀lɛ mìnii wooghrɛɛ rì Kiris, Kiris nyii wooghrɛ̀n ɗì Bɛ̀ll."
1CO.4.1,"Ɓì ghɛ̀ɛ̀sɛɛ min ɓisi kì seesee yɛ̀ɛ ɓɛ̀kìì-ɓìsay ɓɛ Kiris, ɓɛ ɓɛ ri ɓɛ̀ɓèŋì ɓɛ ɓɛkɔɔ̀kɔɔ̀ ɓɛ ɓiɓan ɓɛ Bɛ̀ll à nyamgà. "
1CO.4.2,"Nni com ki ɓum ɓɛɛ̀ ɓoŋɓoŋ a ɓɛ̀ɓèŋì-ɓyom ki ri lɛ, ɓɛɛ resi lɛ ɓɛ ri ɓumɓɛ ɓum ɓɛ ghɛɛ̀sɛɛ kì tyweeyii. "
1CO.4.3,"Ɓi ɓɛg ànɛ a lɔ̀ŋkɛm̀, ǹtɔɔgh ɓi com nsoò lɛsàg lɛ mìni yɛɛ yɔm̀ mɛ̀, nsoò lɛ ɓum ɓɛɛ yɔm̀ mɛ̀, kɛ̀ɛ nki yɔ̀m mɛ̀ɛmiɗ "
1CO.4.4,"lɛ ǹ-yin ɗi bɛ̀lɛn ɓi nɗem. Kìɓan kifog àa fɔlɔɔ yɛɛ kii lɛ mɓa lɛ sɛɛghi sɛɛghi, ǹ-yɔ̀mì mɛ̀ à rì lɛ Kan. "
1CO.4.5,"Ɓisu wìn miì nnɛ kɛ̀ ɓi yɔ̀m kiɓan kidɛŋ di cààmɛ̀n ki ka kpaŋ ɓi, di Kan à ka yu ɓi, nnyɛɛ ri ɓiì tɛɛ̀zii ɓiɓan ɓi ɓi ri ɓì nyamɛn a birìm, à ki kì lɛ ɓɛɛ yi mɛ̀yitì mɛ ɓum ɓɛ ri rì mɔ ɓi mɛ̀rem, fɔɔnnɛ Bɛ̀ll à rì ɓiì faa mum ǹcèm mɛ̀sɛɛ̀ghsɛɛgh mɛ à ghɛ̀ɛ̀sɛɛ rì mɔ."
1CO.4.6,"Ɓɔɔsoŋ̀, ɓisu win nnɛ màa teri dàɗkì yiǹ lɛ rì ɓi Apolos rì ɓi mɛ̀ɛmiɗ, lɛ i ɓì nɔ̀ɔ̀tii kìrèmzɛnà kis, fɔɔnnɛ ɓì ɓiì yilaagh yɛ̀ɛ ɓì rì lɛ ɓì rɔ̀ɓ kɛ̀ ɓi ceesi nɗèè wu ɓiɓan ɓi ɓi ri ɓìkànɛn, kɛ̀ ɓi faafàlɛ̀n mìniìɓɔmiɗ rikem lɛ ɓìi nsuugh ɓi jɛ̀m ì tɛɛnɛ à tɛɛnɛ, ɓì sɛɛtì tɛɛnɛ àmbog. "
1CO.4.7,"Ɓisuulɛ ghɛn yɛɛ kpaa wɔ̀ lɛ ù ceeghii ɓum ɓɛmbog? Cɛ ù rì rì kɔ ki ki yin com ki ɓɛ faghà wɔ̀ ǹfayɛn? I ɓɛ ki faghà wɔ̀ ǹfayɛn, ɓisuucɛ nnɛ u kaakalɛ̀n yɛ̀ɛ ɓɛɛ̀ kali lɛ ɓɛ faghà ɓi wɔ kɔ ǹfayɛn?"
1CO.4.8,"Ɓì mɛ wuràg, ɓì ki ti ɓɛ̀guŋgum; mìnii mɛ ɓɔg mɛfòm, ɓìsi kɛ̀ɛ̀ kìɓɔɔ̀gh, i ɓyàa rì kɔm̀ lɛ ɓì ɓa mɛ̀fòm mɛncèm lɛ ɓìsi girig ti lami nɗaŋ ri mìni. "
1CO.4.9,"Lɛ mɛ̀ɛ nfèki lɛ, ɓìsi ɓɛ̀kɛ̀nì-fìtom ɓɛ Yeesus Kiris, Bɛ̀ll à faghà ɓìsi ìkɔ̀ɔ̀ wu siitòn fɛlɛ yɛ̀ɛ ɓumɓɛ kìɓan kaa ki ti kìrenɛn lɛ ɓɛ ghɛɛ̀sɛɛ ɓɔ kì wolì. Tì rì ɓumɓɛ Bɛ̀ll à rɛsìghà lɛ ziinɛ, rì ɓum ɓɛ titom rì ɓɛ̀ro ɓum ɓɛɛ seèsee yɛ̀ɛ ti yɛɛyɛɓɛ̀n. "
1CO.4.10,"Tì rì ɓɛ̀ghalɛn ɓiyèg lɛ Kiris, wɔ̀lɛ mìnii ri rì ɗyomzɛ̀n ɓi Kiris ɓi ɗùm; ɓìsii ri ɓɛ̀kɔ̀kɔg, mìni ɓɛ̀tèteɗ; ɓum ɓɛ nyaànyààsì mìni, wɔ̀lɛ ɓɛ sɛɛ̀sɛ̀ɛ̀tì ɓìsi. "
1CO.4.11,"Ɓìsii wowog lɛ rì zày, rì kìnɔli, ɓìsi nyoo zɛy, ɓɛ kukwìy ɓìsi, tì ki rereni zi, à kpaŋ ɓi cààmɛ̀n ki. "
1CO.4.12,"Ti woowolɛ̀n ɓìsiìɓɔmiɗ ri ntɔɓ lɛ ti say rì ɓyàg ɓis, jàŋ inɛ ɓum ɓɛɛ̀ sɛɛsɛmgì ɓìsi, ɓìsii maŋmàŋ ɓɔ, ɓɛ ri yeeyeesì ɓisi, tì sììsììrì lɔŋ nɗem. "
1CO.4.13,"Ɓɛ ri tòtog ɓisi kìɓe ɓi nyoo, ɓìsii fɔɔfɔ̀ɔ̀sì ɓɔ mɛ̀rem, à kpaŋ ɓigomìnɛ, ɓìsii mɛ ghay fɛlɛ yɛ̀ɛ ɓìsògtɛ̀n ɓi ziinɛ rì ɓìgham ɓi ɓum ɓɛ̀cèm."
