livre.chapitre.verset,Bafia
LUK.1.39,"Ɓi cààmɛ̀n kɔm̀ kiǹ, Marii à pɛ̀sɛ̀ngà à kɛ̀n lɛ fyɛ̀ɗ ɓi bàn ìdɛŋ ìnɛ a Zyuda ìnɛ ì ɓaghà ɓi dòn. "
LUK.1.40,"À ɗiŋìghà ɓi naa ì Zakarii, à tògsì Eliisaɓɛt. "
LUK.1.41,"Lɔŋ yɛ̀ɛ Eliisaɓɛt à wokà ɓìtògsɛ̀n ɓi Marii, man à nyɛ̀ŋɗɛ̀n nyi ɓi ɗùm; Eliisaɓɛt à ɓa ǹɗonɛn ri Kìtɛntɛ̀ɛ̀n ki Nghay. "
LUK.1.42,"Nni à kpaaghà jɛ̀ɛ̀ aɗyoo lɛ: Ù rì rì ɓɛmààgh ù cee ɓɛ̀yiɓ ɓɛ̀cèm, fɔɔnnɛ man ànɛ ù ɓiì yalì à rì girig m̀maŋɛ̀n. "
LUK.1.43,"Rìkuu ɗi kiɓan aɗi ɗyɛɛ ghɛnɛɛ lɛ a lɔ̀ŋkɛm̀ lɛ, jɛɛ Kan wɛ̀m a yu mɛ̀ jàŋbog? "
LUK.1.44,"Ghɛna lɛ, yɛ̀ɛ màa woogh ɓìtògsɛ̀n ɓyɔɔ, man àa ghàsi mɛ̀ kìnyɛ̀ŋɗɛɛ ɓi ɗùm rì kìnyàà. "
LUK.1.45,"Mààgh rì giɓ anɛ à gherɛ̀ngà, lɛ ɓìɓan ɓi Kan à romgày lɛ ɓɛɛ kali nyi ɓi ri ɓiì kìlɛɛ."
LUK.1.46,"Marii à kalì min lɛ: Nɗem wɛ̀m wɛɛ̀ fafa Bɛ̀ll rìkem,"
LUK.1.47,"fɔɔnnɛ kìnyàà ki roni mɛ̀ ɓi nɗem lɛ rìkì ɗi Bɛ̀ll ǹghɛɓsì wɛ̀m,"
LUK.1.48,"ɓisuulɛ àa m̀ɓɛ̀ŋmɛɛ zɛy rì zɛy à ǹkìì-kìsay wiì à giɓ, fɔɔnnɛ a tumɛ̀n ɓigomìnɛ, gbàà yi ɓum yìcèm yi ri kalaagh gɛ lɛ: Ǹɗì m̀màŋɛn."
LUK.1.49,"Lɛ Bɛ̀ll à ìtèɗ wucèm à mɛ kì mɛ ɓɛ̀gɛn ɓɛ ɓiɓan, ɗii ɗii ɗi ri rìtɛnɛn"
LUK.1.50,"ǹɗem wii wu nyìighnyìg wɛɛ ghɛnag ɓi gbàà yìcèm, a ɓumɓɛ ɓɛɛ̀ nìgi nyi."
LUK.1.51,À rèsìghà ìtèɗ wii ɓi ɓɛ̀gɛn ɓɛ ɓìɓan ɓɛ à kìghà; à sangà ɓum ɓɛ̀cèm ɓɛ ɓɛ ɓaghà rì ǹɗem wu ncaŋà.
LUK.1.52,"A ɓigtìghà ɓìtèetèɗ ɓi ɓi ɓaghà ɓi rìlàmì, à ɓɔgsi ɓumɓɛ ɓɛ ri ɓɛ̀sɛɛdɛn ɓi zi ɓi mɛ̀kɔ̀ɔ̀ mɛ ɓɛkemì,"
LUK.1.53,"ɓumɓɛ ɓɛ wowòkà zày à faghà ɓɔ ìkum lɛɛ̀gwey; ɓɛ̀guŋgum, à nàɓ ɓɔ ɓyàg zɛy."
LUK.1.54,"À ghɛɓsìghà kìlɔ̀ŋ ki Isirayɛl ǹkìì-kìsay wiì kɛ̀ɛ ɗimzɛn lɛ, a resi ǹɗem wu geesɛ̀n,"
LUK.1.55,"ɓisuu Abiraham, rì dòò yii, fiɗyàɓ fikɔ̀ɔ̀ lɔŋ yɛ̀ɛ à kàkà ɓɛ̀seŋi ɓis."
LUK.1.56,"Marii à kɔ̀rìghà ɓɛɛ Eliisaɓɛt, nunùg ɓɛ̀ŋwii ɓara, fɔɔnnɛ à sukà min."
LUK.1.57,"Yɛ̀ɛ cààmɛ̀n ki lɛ Eliisaɓɛt a yas̀ ki kpagà, nni à yalà man à baŋì. "
LUK.1.58,"Ɓumɓɛ à wɔŋzɛ̀ngà mɛɛ ri bɔ, rì ɓɔɔseŋi ɓii ɓɛ wokà lɛ Kan àa ǹɗèsii nyi geesɛ̀n yìì lɛ tɛntɛ̀ɛ̀n, ɓɛ nyaàrɛ̀n ǹɗaŋ ri nyi. "
LUK.1.59,"Yɛ̀ɛ man à kpagà mɛ̀ru taàɓɛ̀ɛ̀ , nni ɓɛ yughà rì nyi lɛ ɓɛɛ kɛ̀ɗ, ɓɛ rerèŋì nyi lɛ Zakarii, ɓi ɗii ɗì seŋi wìì. "
LUK.1.60,"Kìɓan kifog, jɛɛ à pɛ̀sì jɛ̀ɛ̀, à kpaa lɛ: Èe èe! À rì ɓìi ɓaa ɗii lɛ Zyaŋ. "
LUK.1.61,Fɔɔnnɛ ɓumɓɛ̀n ɓɛ kpaaghà nyi lɛ: Ŋwaàdɛŋ ànɛ ɓi boo yɔ̀ɔ̀ à ka ɓaghà ɓi ɗii fɔlɔɔ. 
LUK.1.62,Ɓɛ fefèkà Zakarii à seŋi man rì ɓyàg lɛ ɓɛɛ tɔg nyi ɗii ɗi man. 
LUK.1.63,"Nni à lɔngà ɓɔ kìɓoŋ, à kàn miì lɛ: À rì ɗii lɛ Zyaŋ. Ɓum ɓɛ̀cèm ɓɛ kuuràkà kìɓan kiǹ. "
LUK.1.64,"Lɔŋ ɓi cààmɛ̀n kɔm̀ kiǹ ìnnɛ ŋwɔm wii wu ŋwarɛ̀ngà, rìlemàg ɗii ɗi fumɓɛ̀n à tumɛ̀n tì rìtòtòg, à ɓɔɔɓɔ̀gsì Bɛ̀ll jɛ̀ɛ̀ aɗyòò. "
LUK.1.65,"Ɓumɓɛ ɓɛ ɓaghà kòdò bog rì ɓɔ, ɓɛ risìghà ɓɛ̀sɛ̀ɛ̀ ɓɛcèm; fɔɔnnɛ ɓɛ̀roɓɛ ɓi dòn yi a Zyude ɓɛ kuukùrɛ̀ngà lɔŋ ɓi ɓìɓan ɓiǹ. "
LUK.1.66,"Ɓumɓɛ ɓɛ wokà ɓìɓan ɓiǹ ɓɛ nyamgà ɓyɔ ɓi ǹɗem, ɓɛ ki tɔɔghtɔɔ̀ghrɛ̀n lɛ: Man ànɛ à ri ɓa ɓaà rìkuu ɗi mum aɗi? Wɔ̀lɛ ìtèɗ wu Kan wu ɓaghà rì man ànɛ̀n a tààkaà."
LUK.1.67,"Nni Zakarii à seŋi à ɓaghà ǹɗonɛn ri Kìtɛntɛ̀ɛ̀n ki Nghay, à tumɛ̀n rìtòtòg yɛ̀ɛ ǹkpaŋzì-ɓìɓan à kpaa lɛ:"
LUK.1.68,"Rìkem ɗi ghɛ̀ɛsɛɛ rì Kan Bɛ̀ll à Isirayɛl, ɓisuulɛ, àa ǹ-yùu kì ghɛɛ̀ kìlɔ̀ŋ kii, à kwèɗ kɔ"
LUK.1.69,à ki rom yi ɓìsi kìtèetèɗ ki ǹghɛɓsì; ǹghɛɓsì àncèm à ki ɓay ɓi naa ì ɓum ì nkìì-kìsay wiì Davit.
LUK.1.70,"Lɔŋ yɛ̀ɛ à kpaaghà ɓi ŋwɔm wu ɓɛkpaŋzì-ɓìɓan ɓii ɓɛ ɓi mɛ̀ru mɛ ajɛ̀m, ɓɛ ɓɛ ɓaghà ɓɛ̀tɛnɛn."
LUK.1.71,"A siŋdɛ̀ngà lɛ, à kòri gɛ ɓìsi ɓi ɓyàg ɓi ɓɛ̀bènàbena, rì ɓi ɓum ɓɛ̀cèm ɓɛ ti ɓeɓkì."
LUK.1.72,"Rìkì ɗiǹ ɗyɛɛɗi a rèsàg geesɛ̀n yìì ɓi ɓɛg ànɛ a ɓɛ̀seŋi ɓis, à ki yiti bee inɛ à rengà rì ɓɔ, ìnɛ ìrì ǹtɛnɛn"
LUK.1.73,"lɔŋ yɛ̀ɛ nyimiɗ à kànɛ̀ngà bɛ̀ɗ, ɓi ǹkàg wu à faghà Abiraham à seŋi wìs à ǹsɛ̀ɛ̀"
LUK.1.74,"lɛ à faa gɛ ɓìsi ìtèɗ wulɛ ti ɓɔgsi nyi kɛ̀ɛ̀ ìris, di à mɛ kwèɗ ɓisi ɓi ɓyàg ɓi ɓɛ̀bènàbena ɓis,"
LUK.1.75,"lɛ tì ɓa ɓɛ̀tɛnɛn, tì ki ɓa ti lɛ saaɗ ɓi mis mii cɛɓ kis kicèm."
LUK.1.76,"Nni wɔ̀ man ànɛ, ɓum ɓɛ ri regag wɔ lɛ: Ǹkpaŋzì-ɓìɓan a Bɛ̀ll ànɛ à teŋmɛɛ kɛ̀ɛ̀ vèg, ɓisuulɛ ù ɓiì syòŋi Kan bee, lɛ u log kì pègsɛɛ bee yiì,"
LUK.1.77,"ù ki kì lɛ ɓumɓɛ ɓi kìlɔ̀ŋ kii ɓɛɛ yi lɛ Bɛ̀ll à kòri ɓɔ, lɛ à mɛ cenɛn ɓɔ ɓìɓe ɓyaa."
LUK.1.78,"Lɛ Bɛ̀ll wìs à rì ǹɗonɛn ri coo geesɛ̀n, fɔɔnnɛ à ri rom yi ɓìsi kìtɛɛtɛn ki aɗyoo, ki ki ri fɛlɛ yɛ̀ɛ baso ì ŋwos"
LUK.1.79,"lɛ kɛɛ kpeŋzi ɓumɓɛ ɓɛ ri ɓi birìm, rì ɓi kìfìì ki riwù, ki kɛɛ̀sì ɓìsi ɓi bee ì cɛɓ ki fyòoog."
LUK.1.80,"Man ànɛ̀n à tɔɔtɔ̀ɔ̀ghà, ǹghay wii wu tetèɗ ìtèɗ; à ghɛghɛ̀ɓkà ɓi-reɓ à kpaŋ yɛ̀ɛ à rèsɛ̀ngà ɓi nyìinyìm à ɓɔn ɓɛ Isirayɛl ŋwos adɛŋ."
LUK.2.1,"Ɓi cààmɛ̀n kiǹ, kaaza ànɛ à ɓaghà ɗii lɛ Ogus, à lamìghà lɛ ɓɛɛ ɓay ɓum ɓɛ̀cèm ɓɛ ɓi zi bimiɗ. "
LUK.2.2,"Bàlì ìnɛn yɛ̀ɛ ɓaghà ǹtonto à bàlì, ànɛ à kìlɛ̀ngà ɓi cààmɛ̀n ki Kirinus à ɓaa gɔmìnà ànɛ ɓi kìlɔ̀ŋ ki lɛ Sirii. "
LUK.2.3,Mum ǹcèm à kɛ̀ngà kì ɓàlɛɛ ɓi kìlɔ̀ŋ kii.
LUK.2.4,"Fɔɔnnɛ Yoosɛɓ à pɛ̀sɛ̀ngà girig a Galile, ɓi bàn ìnɛ lɛ Naazarɛt, lɛ a kɛǹ, a Zyude ɓi bàn ì Davit ìnɛ lɛ Bɛtilɛhɛm, ɓisuulɛ à ɓaghà ɓi boo ì mum ì Davit; "
LUK.2.5,à kɛ̀ngà wɔɔ lɛ ɓɛɛ ɓay ɓɔ ɓɛɛ̀ Marii à kìlɔnì kii ànɛ à ɓaghà rì ɗyem.
LUK.2.6,"Yɛ̀ɛ ɓɛ ɓaghà di ɓɛ kaka a Bɛtilɛhɛm, cààmɛ̀n ki lɛ Marii a yas̀ ki kpagà; "
LUK.2.7,"nni à yalà man wìì à ǹtonto baŋì, à lɔkì nyi rì ɓìlàà, à nɔ̀ŋzì nyi ɓi kìɓɛrɛ ki ɓìtuwe ɓi ǹɗilàg miì lɛ jàŋ inɛ ɓɛ kɔrì miì ì ɓatìghà ɓi ɓi naà-ɓɛ̀kèn."
LUK.2.8,"Ɓi kìlɔ̀ŋ kɔm̀ kiǹ, ɓɛ̀bèŋì-jɔ̀ɔ̀ ɓɛ ǹlaayì cɛm a dɛm, ɓɛ ɓeŋɓèŋ ɓìtuwe ɓyaa. "
LUK.2.9,"Yɛ̀ɛ ŋwaà-fìtom a Kan à resɛ̀ngà ɓɔ, kìtɛɛtɛn ki rigwey ɗi Bɛ̀ll ki ceŋzɛ̀n ɓɔ, fɔɔnnɛ ɓɛ risìghà lɛɛ̀gwey. "
LUK.2.10,"Kìɓan kifog ŋwaà-fìtom à kpaa ɓɔ lɛ: Kɛ̀ ɓi risì, ǹɗìì mìni rì syeesyee à ɓɔlɛ̀ ànɛ à rì ɓiì faa kìlɔ̀ŋ kìcèm coo kinyàà ɓi mɛ̀rem. "
LUK.2.11,"Ɓɔlɛ ànɛ̀n à rì lɛ: ǹghɛɓsì ɓum à yalɛɛ gɛɛ̀nɛ ɓìsu wìn, ɓi bàn ì Davit, nnyɛɛ ri Kiris Kan. "
LUK.2.12,"Nni kìrèmzɛnà ki ki ri mìni ɓiì rèsii nyi ki ri lɛ, ɓì ɓiì tanɛɛ man à m̀ɓwɛɗ ǹlɔkakɛn, ǹnɔ̀ŋziyɛn ɓi kìɓɛrɛ."
LUK.2.13,"Fɔɔnnɛ ɓɛ sigmɛ̀ngà di kìtuu ki ɓum ɓɛ titom ɓɛ aɗyoo ki mɛ yù ki tanɛɛ roà ǹtonto, ɓɛ ɓɔɔ̀ɓɔ̀gsì Bɛ̀ll di ɓɛɛ kpaakpaa lɛ;"
LUK.2.14,"Rìkem ɗyɛɛ ki Bɛ̀ll ɓi ɗyoo ɓi ɗùm, fyòoog à ɓa rì ɓumɓɛ ɓi ziinɛ ɓɛ Bɛ̀ll à keesii."
LUK.2.15,"Yɛ̀ɛ ɓum ɓɛ titom ɓɛ sugtìghà kì ɓɔɔgh aɗyoo, nni ɓɛ̀ɓèŋì-jɔ̀ɔ̀ ɓɛ rɔɓkà kì kpaa wɔɔ ɓɔ rì ɓɔ lɛ: Ti kɛ̀ɛna a Bɛtilɛhɛm, ti ghɛn kìɓan ki kaa kìlɛɛ wɔɔ, kɛɛ̀ki Kan àa wogsii ɓìsi. "
LUK.2.16,"Fɔɔnnɛ ɓɛ kɛngà wɔɔ ri mɛ̀ree, ɓɛ tanɛ̀n Marii rì Yoosɛɓ, rì maa man ànɛ̀n ǹnɔ̀nɔŋiyɛn ɓi kìɓɛrɛ. "
LUK.2.17,"Yɛ̀ɛ ɓɛ ghɛngà man ànɛ̀n, ɓɛ tumɛ̀n rìkpaa ɗi ɓiɓan ɓi ŋwaà-fìtom à kpaaghà ɓɔ ɓi kìɓan kii. "
LUK.2.18,"Ɓum ɓɛ̀cèm ɓɛ ɓɛ wokà ɓìɓan ɓi ɓɛ̀ɓèŋì-jɔ̀ɔ̀ ɓɛ kpaaghà ɓiǹ, ɓɛ kuuràkà ɓyɔ. "
LUK.2.19,"Marii à ɓèŋɓèŋgà ɓìɓan ɓiǹ ɓìcèm, à ki fèfeg ɓyɔ rì ǹɗem. "
LUK.2.20,"Fɔɔnnɛ ɓɛ̀ɓèŋì-jɔ̀ɔ̀ ɓɛ sugtìghà di ɓɛɛ ɓɔɔɓɔgsì Bɛ̀ll, ɓɛ keèkèmzì nyi rì tyem ɓisuulɛ, ɓìɓan ɓìcèm ɓi ŋwaà-fìtom a kpaaghà ɓɔ, ɓi ɓaghà com kìfog rì ɓi ɓɛ ghɛngà."
LUK.2.21,"Ɓi mɛ̀ru taàɓɛ̀ɛ̀ ànɛ ɓɛ ghɛɛsɛ̀ngà kì kɛ̀ri man, innɛ ɓɛ roòghà nyi ɗii lɛ Yeesus; ɗii ɗìn ɗyɛɛ̀ɗi ŋwaà-fìtom à faghà, di jɛɛ à ka teɗ ɓi ɗyem ɗii. "
LUK.2.22,"Yɛ̀ɛ cààmɛ̀n ki zòghɛ̀n inɛ Yoosɛɓ ɓɛɛ̀ Marii ɓɛ ghɛɛ̀sɛ̀ngà kì kìlɛɛ ki kpagà, lɔŋ yɛ̀ɛ ki ri ɓi ɓìdɔ̀gsɛna ɓi Moyis, fɔɔnnɛ ɓɛ kɛngà rì man ànɛ̀n a Yorisalɛm, lɛ ɓɛɛ resi nyi ɓi mis mɛ Kan, "
LUK.2.23,"lɛ ki ri kì kànɛn ɓi ɓìdɔ̀gsɛna ɓi Kan lɛ: Man à baŋì bimiɗ ànɛ à rì man à ǹtonǹto, ɓɛ̀yalì ɓii ɓɛ ghɛɛ̀sɛɛ nyi kì faà rì Kan; "
LUK.2.24,"ɓɛ ghɛɛ̀sɛɛ kì fùnɛɛ ɓɛ̀kuùkuù ɓɛɓɛɛ̀, nsoò lɛ ɓɛ̀sɔ̀m ɓɛ kòokòs ɓɛɓɛɛ̀, lɛ fɔɔnnɛ ki ri kì kànɛn ɓi ɓìdɔ̀gsɛna ɓi Kan. "
LUK.2.25,"Ɓi mɛ̀ru mɛ̀n, ŋwaàdɛŋ à ɓaghà a Yorisalɛm ɗii lɛ Simeyɔŋ, à ɓaghà syeesyee à mum, ànɛ àa nti à risàg Bɛ̀ll; à ɓoŋɓòŋgà gòri ì Isirayɛl, à ɓaghà rì Kìtɛntɛ̀ɛ̀n ki Nghay. "
