livre.chapitre.verset,Bafia
ROM.1.11,"Ɓisuulɛ ǹɗì rì coo zày ìnɛ lɛ di màa ghɛɛ mìni, lɛ n-yuy mìni rì rìfa ɗi Kitɛntɛ̀n ki Nghay ridɛŋ ɗi ɗyɛɛ fati mìni ìtèɗ. "
ROM.1.12,Nsoò gì lɛ di ti faàfàlɛ̀n ìtèɗ nɗaŋ a lɔ̀ŋkin ɓi rìgherɛ̀n ɗi ɗi ri ɓìsi bas lɛ rì mɛ̀ rì mìni.
ROM.1.13,"Ɓɔɔsoŋ̀ ǹkɔ̀ni ɓi lɛ ɓi naǹ lɛ, mmɛ ɓeg ɓyààmɛ̀n ɓidɛŋ lɛ n-yu mìni kì ghɛɛ̀ lɛ di kìsay kɛm̀ kɛɛ wum gàɓ ì ɓìɗùn a lɔ̀ŋkin, yɛ̀ɛ ki faghà ɓi ɓìlɔ̀ŋ ɓimbog. Nni à kpaŋ ɓigomìnɛ, bee ì ka ghɛnɛ̀ngà ɓi. "
ROM.1.14,"Ɓisuulɛ ǹɗì rì ǹtɛ̀g wulɛ nkɛǹ a ɓum ɓɛ̀cèm, a ɓɛ̀roɓɛ ɓɛ yii cɛɓ rì a ɓɛ̀roɓɛ ɓɛ ka yi ɓi cɛɓ, a ɓɛ̀yiì-ɓìɓan, rì a ɓumɓɛ ɓɛ yii ɓi com. "
ROM.1.15,"Kìɓan kiǹ kɛɛ̀ki ǹɗì rì coo zày ìnɛ lɛ nghagsi girig mìni Syeesyee à Ɓɔlɛ, mìni ɓɛ ɓì rì a Rom."
ROM.1.16,"Ɓisuulɛ, ǹ-yin lɛ ǹwog ǹtoòrìɗ ɓi rìghagsì ɗi Syeesyee à Ɓɔlɛ, lɛ à rì ìtèɗ wu Bɛ̀ll wu wɛɛ̀ ghɛɛghɛɓsì ɓum ɓɛ̀cèm ɓɛ ɓɛ gherɛɛ, à tumɛ̀n lɛ Ɓɛ̀yudɛ̀n à kpaŋ lɛ ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n. "
ROM.1.17,"Ɓisuulɛ Syeesyee à Ɓɔlɛ a rèresi yɛ̀ɛ Bɛ̀ll à ti à kìlàg lɛ ɓum ɓɛɛ ɓa lɛ saaɗ ɓi mis mii lɛ rìgherɛ̀n rì ɓisuu righerɛ̀n lɔŋ yɛ̀ɛ ki ri kìkànɛn lɛ: Ŋwaànɛ à rì mum à saaɗ ɓi mis mɛ Bɛ̀ll, lɛ rgherɛ̀n, à ɓiì ghɛɓì."
ROM.1.18,"Bim i Bɛ̀ll ì ti ì rèsàg yì aɗyoo ɓisuu kiɓe kicèm, rì kìtɛ̀ŋtɛ̀ŋ kicèm ɓi ɓum ɓɛ ri rì ɓyɔ, ɓyɛɛ ɓanɓani saaɗ ɓi rìkpàn ɓi zɛ̀ɗ aɗyòò; "
ROM.1.19,"ɓisuulɛ, ɓìɓan ɓi ɓum ɓɛ ri rì ìtèɗ wulɛ ɓɛ yi ɓi ɓɛg ànɛ yɛ̀ɛ Bɛ̀ll, ɓi ri lɛ tɛntɛ̀ɛ̀n ɓi mis maa, lɛ Bɛ̀ll à rèsìghà ɓɔ ɓyɔ lɛ syeesyee. "
ROM.1.20,"À tumɛ̀n yɛ̀ɛ Bɛ̀ll à kìghà zi, mɛ̀ròŋa mii mɛ ɓum ɓɛ yin lɛ ɓɛ ghɛn lɛ, rì ìtèɗ wii wu wu ri fìɗyàɓ fikɔ̀ɔ̀, rì rìɓa ɗii ɗi àrì Bɛ̀ll, ɓyɛɛ̀ rèeresɛ̀n ɓi ɓyom ɓi à kìghà; fɔlɔɔ nnɛ ɓɛ yin ɗi com ki ɓɛ ri lɛ ɓɛ kpaa ki ki ki lɛ ɓɛɛ cenɛn ɓɔ. "
ROM.1.21,"Ɓisuulɛ ɓɛ yii Bɛ̀ll, kìɓan kifog ɓɛ̀ kɛɛ̀ ɓɔgsi nyi yɛ̀ɛ ki ghɛɛ̀sɛɛ lɛ ɓɛɛ ɓɔgsag nyi, ɓɛ̀ kɛɛ̀ ki fa nyi ɓìtògsɛ̀n, wɔ̀lɛ ɓìdìmìdimi ɓyaa ɓi ɓɛfèg ɓi mɛ tɔɔsi ɓɔ cog, ɓìdùŋdùŋ ɓyaa ɓi mɛrèm ɓi sigtɛ̀n birìm. "
ROM.1.22,"Ɓɛ sasànɛ̀n lɛ ɓɛ wom̀zɛɛ, kɔlɛ ɓɛ ri ɓìyèg. "
ROM.1.23,"Jàŋ inɛ ɓɛ ghɛɛ̀sɛ̀ngà kìɓɔgsii Bɛ̀ll ànɛ à rì Loy ɓìfèèghrɛnà ɓi lɛ, rì mum ànɛ à ti à wulàg, rì tììlì, rì nyàm yi mɛkòò mɛnin, rì yi wɔwɔghɛn ri mùm, ɓyɛɛ̀ ɓi ɓɔɔ ɓɔɔ̀ɓɔ̀gsì."
ROM.1.24,"Kìɓan kiǹ kɛɛ̀ki Bɛ̀ll à cìtɛ̀ngà ɓɔ ɓi ɓìɓan ɓi tifin, ɓi mɛ̀rem maa mɛ ɓiisɛ̀ngà kì kɔ̀ni, fɔlɔɔ nnɛ ɓɛɛ̀ sòosoòtì nyoo yaa yi ɓɔmiɗ. "
ROM.1.25,"Ɓɛ koɓsɛ̀n saaɗ à Bɛ̀ll rì ɓɛ̀pwàà, ɓɛ ɓɔɔ̀ɓɔ̀gsì ɓyom ɓi Bɛ̀ll à kìghà, ɓɛ kikì ɓyɔ mɛ̀wog jàŋ inɛ ɓaa ghɛ̀ɛ̀sɛɛ kìɓɔgsii ǹkìì-ɓyom ɓìcèm ànɛ à ghɛ̀ɛ̀sɛɛ rì rìkem fìɗyàɓ fikɔ̀ɔ̀, ààmɛ̀n."
ROM.1.26,Kìɓan kiǹ kɛɛ̀ki Bɛ̀ll à tinìghà ɓɔ lɛ ɓɛɛ kiki ɓìɓan ɓi ntoòrìɗ; ɓɛ̀yiɓ ɓaa ɓɛ pɛɛ̀zì rìràrɛ̀n ɗi Bɛ̀ll à fèkà lɛ rì giɓ rì baŋì ɓi bee ì dùne. 
ROM.1.27,"Fɔlɔɔ nnɛ ɓɛ̀baŋì girig, ɓɛ mɛ càɗ riràrɛ̀n ɗi Bɛ̀ll à fèkà lɛ baŋì yɛ̀ɛ rarag rì giɓ, ɓɛ̀ro ɓɛ̀baŋì ɓɛɛ̀ɓɛ ɓɛ kɔnkɔ̀n lɛ ɓɛɛ rarɛn ɗì ɓɔ. Ɓɛ̀baŋì ɓɛ kikì min ɓiɓan ɓi ntoòrìɗ rì ɓɛ̀ro ɓɛ̀baŋì, rìsyɔn ɗi miì ɗi ɓa lɛ ɓɛɛ teɗ mɛ̀lèɓ mɛ mɛ ghɛɛ̀sɛɛ rì rìnàn ɗyàa ɗiǹ."
ROM.1.28,"Yɛ̀ɛ ɓɛ ghɛngà ɓi kirɔɔ lɛ ɓɛɛ yiti lɛ Bɛ̀ll à rì wɔɔ, nni Bɛ̀ll à nagà ɓɔ rì kìyèg kaa ki ɗyomzɛ̀n lɛ ɓɛɛ kiki ɓìɓan ɓi ɓaa ghɛ̀ɛ̀sɛɛ ɓi kikìi. "
ROM.1.29,"Fɔlɔɔ nnɛ ɓɛ ri ɓɛ̀ronɛn ɗi mɛ̀bèe mɛ̀kuu mɛ̀cèm, ɗì rìgɛn, rì zày ì ìkum, rì mɛ̀ghèy; ɓɛ ɓa tì ɓɛ̀ronɛn ri yàaka, ɓɛɛ woowoòsɛ̀n, ɓɔ rì ɓɛ̀paàzì, rì wii wu mɛghèy, ɓɛ keesì cɛɓ ki tisɔ̀mɔ̀g, "
ROM.1.30,"rì ɓɛ̀ɓɔlɛ, rì mɛ̀wɔ̀wɔrì, ɓɛ ɓa ɓɛ̀bènàbena ɓɛ Bɛ̀ll, ɓɔ ɓɛ̀kaà-ɓìɓan, ɓɔ rì ɓìdaŋà rì kalɛn, ɓɛ womzɛ̀n ɓi rìkì ɗi kiɓe, ɓɛ ki ɓa ri ntoòtèɗ rì ɓɛ̀yalì ɓaa. "
ROM.1.31,"Ɓɔ kɛ̀ɛ̀ ɗyomzɛ̀n , ɓɛ̀ kɛɛ̀ ki ɓa ɓumɓɛ mum à tyweeyàg, ɓɔ kɛ̀ɛ̀ ǹkɔ̀nɛ̀n, kɛ̀ɛ̀ ǹɗem wu woghɛn romum nyìighnyìg. "
ROM.1.32,"Nsoò yɛ̀ɛ ɓɛ yii lɛ Bɛ̀ll à rengà lɛ ɓumɓɛ ɓɛɛ̀ kìki mɛkuu mɛ ɓiɓan mɛǹ, ɓɛ ghɛɛ̀sɛɛ dì rìwu, ɓɔɔ kɛnkɛ̀n lɔŋ asu ɓɛ kikì ɓyɔ, ɓɛ̀ kɛɛ̀ ki sugtɛn foo, ɓɛ kɛɛ̀dì asu ɓɛ sɛsɛ̀g ɓumɓɛ ɓɛɛ̀ kìki girig ɓìɓan ɓi fɔ̀lɔ̀ɔ̀."
ROM.2.1,"Fɔlɔɔ nnɛ wɛ̀ɛmiɗ anɛ u yɔ̀myɔm ɓum, ù yin ɗi com ki kpaayɛn ɓisuulɛ cààmɛ̀n ki u yɔ̀myɔm ɓɛro, kɛɛ̀ki u faafàlɛ̀n wɛ̀ɛmiɗ bɛ̀lɛn, lɛ wàànɛ u yɔ̀myɔm ɓum ù ti ù kìlàg girig ɓìɓan ɓi ɓɔɔ ti ɓɛ kilàg. "
ROM.2.2,Ɓìsii yii lɛ rìyɔ̀m ɗi Bɛ̀ll à ɓiì yɔ̀mi ɓumɓɛ ɓɛɛ̀ kìki mɛkuu mɛ ɓiɓan mɛ fɔlɔɔ ɗi ri ɓiì ɓaà yɛ̀ɛ saaɗ à rì. 
ROM.2.3,"Wàànɛ ù ti ù yɔ̀mgì ɓumɓɛ ɓɛ ti ɓɛ kilàg fɔlɔɔ, wɔ̀ɔ̀ ki kìki ɓiɓan ɓyɔm̀ ɓiǹ, u fèki nya lɛ ù ɓiì ghɛɓì ɓɛ̀yɔ̀m ɓɛ Bɛ̀ll? "
ROM.2.4,"Gìn wɔ̀ɔ sɛɛsɛɛ̀tì lɛ rì coo kìrɔɔ-ǹɗem à Bɛ̀ll rì kìɓìɓi kii ki nɗem, rì kìpuɓì-ǹɗem wìì? Ù yii ɓi lɛ kìrɔɔ-ǹɗem à Bɛ̀ll à ghɛ̀sɛɛ wɔ̀ kì tinii lɛ u lɔɔ̀ghrɛn ǹɗem? "
ROM.2.5,"Kìɓan kifog, rìɓa ɗi ǹɗem wɔɔ wu ri wù tèrɛn, rì yɛ̀ɛ ù kɔ̀ni ɓi lɛ u lɔɔ̀ghrɛn ǹɗem, u taataŋzàg wɛ̀ɛmiɗ coo bim i Bɛ̀ll ɓi nyòò; bim inɛ̀n ì ri rèsɛn ŋwos anɛ Bɛ̀ll à ri sàɗ bim yiì; ŋwos anɛ̀n rìren ɗii ɗi ɓiɓan ɗi ɗi ri lɛ saaɗ ɗi ri yilɛ̀n, "
ROM.2.6,yɛ̀ɛ à ri lèɓ mum ǹcèm lɔŋ yɛ̀ɛ rìkì ɗii ɗi ri. 
ROM.2.7,"Fɔlɔɔ nnɛ ɓumɓɛ ɓɛ siìrɛ̀ngà ɓi rìkì ɗi kirɔɔ, ɓɛ kaakàà rìkem ɗi yɛ̀ɛ Bɛ̀ll, rì ǹnyàasɛ̀n, rì cɛɓ ki kɛ̀ kɛɛ̀ lèg, Bɛ̀ll fa ɓɔ cɛɓ ki fiɗyàɓ fikɔ̀ɔ̀. "
ROM.2.8,"Wɔ̀lɛ ɓɛ̀roɓɛ ɓɛ ti ɓɛ kilàg nyi ǹtoòtèɗ, ɓɛ̀ kɛɛ̀ kɔ̀n lɛ ɓɛɛ wog com ki saaɗ a kakàlì, lɔŋ kìtɛ̀ŋtɛ̀ŋ kɛɛ̀ki ɓɔɔ nɔɔ̀nɔ̀ɔ̀tì, Bɛ̀ll à rèsì ɓɔ lɛ, rì bim yiì, ɗì rìbaŋì ɗii. "
ROM.2.9,"Rìkɛŋ ɗì mɛ̀riighrikì ɓi ri ɓiì sɛnì ɓi mum bimiɗ ànɛ à ti à kìlàg ɓìɓan ɓi ɓeɓtɛn, à tumɛ̀n lɛ muu Ɓɛ̀yudɛ̀n à kpaŋ lɛ ŋwaànɛ à yin muu Ɓɛ̀yudɛ̀n. "
ROM.2.10,"Wɔ̀lɛ Bɛ̀ll à rì ɓiì kìi lɛ, à kemzì, à ki nyaasi mum ǹcèm ànɛ à ti à kìlàg kìrɔɔ, à fa nyi fyòoog, à tumɛ̀n lɛ muu Ɓɛ̀yudɛ̀n à kpaŋ lɛ ŋwaànɛ à yin muu Ɓɛ̀yudɛ̀n. "
ROM.2.11,Ɓisuulɛ ǹlànag wu yin yɛ̀ɛ Bɛ̀ll.
ROM.2.12,"Ɓum ɓɛ̀cèm ɓɛ ɓɛ kighà kìɓe, ɓɛ̀ kɛɛ̀ yi ɓidɔ̀gsɛna ɓi Bɛ̀ll à faghà Moyis, ɓɛ ɓiì cuù kɛ̀ɛ̀ ɓìdɔ̀gsɛna ɓincèm. Ɓɛ̀sɛ̀ɛ̀ ɓɛ̀cèm ɓɛ ɓɛ kighà kìɓe di ɓɛ ti rì ɓìdɔ̀gsɛna, ɓɛ ri ɓɔ ɓiì yɔ̀mi ri ɓìdɔ̀gsɛna ɓyɔm̀ ɓiǹ. "
ROM.2.13,"Àa ɓumɓɛ ɓɛɛ̀ wowog ɓidɔ̀gsɛna ri mɛ̀reè ɓɛɛ ri lɛ saaɗ ɓi mis mɛ Bɛ̀ll, lɔŋ ɓɛ̀roɓɛ ɓɛ ti ɓɛ kilàg yɛ̀ɛ ɓìdɔ̀gsɛna ɓyɛɛ̀ kakàlì, ɓɛɛ̀ɓɛ àri ghɛn lɛ ɓɛ ri lɛ saaɗ. "
ROM.2.14,"I ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n, ɓɔ kɛ̀ɛ̀ ɓìdɔ̀gsɛna ɓi Bɛ̀ll à faaghà Ɓɛ̀yudɛ̀n, ɓɛɛ̀ kìki ɓiɓan ɓi ɓìdɔ̀gsɛna ɓyɛɛ̀ tɔtɔg lɔŋ ɓɔmiɗ, kɛ̀ɛ̀ com ki ki resii ɓɔ lɛ ɓɛɛ ki fɔlɔɔ, di ɓɛ ti fɛlɛ yɛ̀ɛ ɓìdɔ̀gsɛna, ɓisu waa wu ɓɔmiɗ, nsoò yɛ̀ɛ ɓɛ yin ɗi ɓìdɔ̀gsɛna. "
ROM.2.15,"Ɓi rìkì ɗiǹ, ɓɛ resii yɛɛ lɔɔ lɛ ɓìdɔ̀gsɛna ɓi ri ɓɔ ɓìkànɛn ɓi nɗem; fɔlɔɔ nnɛ ǹɗem waa wu ɓi ɗùm wɛɛ̀ rèresi girig kìɓan kiǹ. Mɛ̀yitì maa mɛ kikì lɛ, ɗi ɗi yii mɛ fa ɓɔ zɔɔ, ɗi ɗi yii, mɛ kamɛ̀n rì ɓɔ. "
ROM.2.16,Kìɓan kiǹ kɛɛ ri ghɛnɛn ŋwos anɛ Bɛ̀ll à ri yɔm̀ ɓi Yeesus Kiris ɓìɓan ɓi ɓum ɓɛ ti ɓɛ kilàg a rìnyam; fɔlɔɔ nnɛ Syeesyee à Ɓɔlɛ ànɛ mɛ̀ɛ nghaaghagsì ɓum a rèrèsì.
ROM.2.17,"Wàànɛ u reeghreŋ̀ɗɛ̀n lɛ muu Ɓɛ̀yudɛ̀n, ù ghɛɛ̀ghɛ̀gmɛ̀n ɓi ɓìdɔ̀gsɛna, ù saàsànɛ̀n lɛ ù rì ɓi rìghan ɗi Bɛ̀ll, "
ROM.2.18,"ù yii rìkɔ̀n ɗi Bɛ̀ll, ɓìdɔ̀gsɛna ɓii ɓi mɛ rèsag wɔ yɛ̀ɛ ù rì lɛ ù yi lɛ kìɓan ki kɛɛ ɓiisɛɛ kì ɓaà rì gɛɓsɛ̀n. "
ROM.2.19,"Wɔ̀ɔ fèfeg lɛ wɔ̀ yɛɛ ri ŋwaànɛ à ɓanɓani ɓɛ̀ɗyaŋɗyàŋ ɓi kìgeŋ, ù kɛ̀ɛ̀kɛ̀ɛ̀sì ɓɔ wɔ̀ tì kìtɛɛtɛn ki ɓɛroɓɛ ɓɛ ri ɓi ɓirìm, "
ROM.2.20,"ù rì roànɛ à ti à reɓkàg ɓìdùŋdùŋ ɓi ɓum, ù ki ɓa nɗèsàg à ɓɔɔɓɔɓti ɓisuulɛ ù rì rì com ki kɛɛ̀ rèresi wɔ rìyi ɗi ɓiɓan ɗyɔmiɗ, rì saaɗ ɓi ɓìdɔ̀gsɛna ɓiɗùm. "
ROM.2.21,"Wàànɛ ù ti ù rèrèsì ɓum ɓɛdɛŋ ɓìɓan, kɔ̀ɔ ka rèsi ɓaà wɛ̀ɛmiɗ? Ù kpaakpàà ɓum lɛ ɓɛ̀ kɛɛ̀ yii com, wɔ̀ yiiyìì ɓyom. "
ROM.2.22,"Ù rèrèg ɓum tìsɔ̀mɔ̀g, kìɓan kifog wɔ̀ɔ̀ kìkì; ù ɓèèzɛ̀n ɓìnùn yɛ̀ɛ mɛ̀nɔ̀ɓɔ̀ nni lannɛ u pyèepyeèzɛ̀n mis rì zàŋ ɓi naa yi ɓɛɛ̀ ɓɔɔɓɔgsì ɓìnùn miì? "
ROM.2.23,"Ù kaàkàlɛ̀n lɛ ù rì rì ɓìdɔ̀gsɛna ɓi Bɛ̀ll, kìɓan kifog ù sòòsòòtì Bɛ̀ll ɗì rìkìkì ɗi ɓiɓan ɓi ɓìdɔ̀gsɛna ɓii ɓi gherɛɛ ɓi lɛ ɓɛɛ kilag. "
ROM.2.24,"Ɓisuulɛ ɓìlɔ̀ŋ ɓi zɛy ɓyɛɛ̀ sɛɛsɛɛ̀tì ɗii ɗi Bɛ̀ll lɛ rìkì ɗin, lɔŋ yɛ̀ɛ ki ri kìkànɛn."
ROM.2.25,"Ki ri saaɗ lɛ kɛ̀rɛ̀n à ghɛɓsii, di ù ɓèŋi ɓìdɔ̀gsɛna, kìɓan kifog, uù sɛɛtii ɓìdɔ̀gsɛna, kɛ̀rɛ̀n wɔ̀ɔ̀ à ɓa lɔŋ yɛ̀ɛ ù ka kɛrɛ̀ngà ɓi. "
ROM.2.26,"Nni i ŋwaànɛ à ka yin nkɛ̀rɛn a ɓèŋɓeŋ mɛsiŋdɛn mɛ ɓi ɓìdɔ̀gsɛna ɓi Bɛ̀ll, rìɓa ɗi à yin nkɛ̀rɛn ɗi yin nya lɛ Bɛ̀ll à teɗ ɗyɔ ɓi sìg à kɛ̀rɛ̀n? "
ROM.2.27,"Ŋwaànɛ yin nkɛ̀rɛn, kìɓan kifog à ɓèŋɓèŋ mɛ̀siŋdɛn mɛ ɓi ɓìdɔ̀gsɛna, à ɓiì renì kìɓan ki wàànɛ u sɛɛsɛɛ̀tì ɓìdɔ̀gsɛna nsoò yɛ̀ɛ ù rì rì kaàtà à ɓìdɔ̀gsɛna, ù ki ɓa nkɛ̀rɛn. "
ROM.2.28,"Ɓisuulɛ muu Ɓɛ̀yudɛ̀n à kɔɔ̀kɔɔ̀ à yin lɔŋ lɛ ŋwaànɛ a seeseèrɛ̀n ɓi mis lɛ à rì muu Ɓɛ̀yudɛ̀n, nsoò lɛ à ɓa nkɛ̀rɛn kɛ̀rɛ̀n ànɛ ɓɛɛ̀ seesee ɓi nyòò. "
ROM.2.29,"Wɔ̀lɛ muu Ɓɛ̀yudɛ̀n à rì lɔŋ ŋwaànɛ rì rì nɗem wu Ɓɛ̀yudɛ̀n. Fɔlɔɔ nnɛ syeesyee à kɛ̀rɛ̀n à rì kɛ̀rɛ̀n ànɛ ɓi nɗem, ànɛ a kìikilɛ̀n rì Ǹghay à Bɛ̀ll, kɛ̀ɛ ɓa anɛ à rì yɛ̀ɛ ki ri ki kànɛn ɓi kaàtà à ɓìdɔ̀gsɛna. Mɛ̀sɛɛ̀ghsɛɛgh mɛ rikuu ɗi muu Ɓɛ̀yudɛ̀n ɗi fɔlɔɔ mɛ ti mɛ̀ kɛɛ̀ ɓayi a ɓum, mɛ ti mɛ ɓalàg yì lɔŋ yɛ̀ɛ Bɛ̀ll."
ROM.3.1,"Kìrɔɔ ki muu Ɓɛ̀yudɛ̀n à rì min ɗi kɔ ki ri lɛ cɛ? Nsoò lɛ, kɛ̀rɛ̀n à rì min ɗi gɛɓsɛ̀n aɗi? "
ROM.3.2,Kìrɔɔ kaa ki tèghɛɛ bee lɛɛ̀gwey; rì ɓɔ nnɛ Bɛ̀ll à ka lokà kì reɓsɛɛ ɓiɓan ɓii. 
ROM.3.3,"Nni la! I ɓum ɓɛdɛŋ ɓɛ ɓi nyìinyìm wàà ɓɛ ɓaghà ɓumɓɛ ɓɛ gherɛɛ ɓi, rìɓa ɗyaa ɗi kɛ̀ɛ̀ rìgherɛ̀n ɗiǹ ɗyɛɛ ri ɓiì kìi lɛ Bɛ̀ll a rɔɓ kɛ̀ɛ roòzi ti mɛ̀kàg mii? "
ROM.3.4,"Ɓi saaɗ ki yin fɔlɔɔ! Ɓum ɓɛ ghɛɛ̀sɛɛ kì gherɛɛ lɛ, Bɛ̀ll à rì roànɛ à ti à kpaaghì saaɗ, ɓum ɓɛɛ ri ɓɛ̀pwààpwaà ɓɛ̀sɛ̀ɛ̀ ɓɛcèm; lɛ ki ri kìkànɛn lɛ: Ki ghɛɛ̀sɛɛ lɛ ɓɛɛ yi lɛ ù rì mum à saaɗ ɓi ɓìɓan ɓi ù kalii, ù ki yagsag ɓɛyɔ̀m di ɓɛ sɔmɛɛ wɔ̀."
ROM.3.5,"Wɔ̀lɛ i ki ri lɛ rìɓa ɗis ɗi tì rì ɓìtɛ̀ŋtɛ̀ŋ ɓi ɓum ɗyɛɛ̀ rèresi ɓi kìtɛɛtɛn lɛ Bɛ̀ll à rì lɛ saaɗ, cɛ tì rì min lɛ tì kpaa? Ti kpaa nya lɛ Bɛ̀ll à rì ɗì kìtɛ̀ŋtɛ̀ŋ di à paàzii rì ɓìsi? Ǹkpaa fɔlɔɔ yɛ̀ɛ ɓum ɓɛ ti ɓɛ kpaaghì. "
ROM.3.6,Ki yin fɔlɔɔ! I Bɛ̀ll àa rì fɔlɔɔ di à rì lɛ à yɔ̀m ziinɛ la?
ROM.3.7,"I pwàà wɛ̀m a kìki lɛ saaɗ à Bɛ̀ll a konag kì ghɛnɛɛ, fɔlɔɔ a ɓa ɓisuu rikem ɗii, ɓisuucɛ nnɛ ɓɛ ghɛɛ̀sɛɛ tì mɛ̀ kìyɔ̀mi yɛ̀ɛ ǹkìì-kìɓe? "
ROM.3.8,"I ki ri fɔlɔɔ, ɓisuucɛ nnɛ tì yin min lɛ tì kpaa lɛ ti kiki kìɓe di kìrɔɔ kɛɛ kpaŋ yì miì? Fɛlɛ yɛ̀ɛ ɓum ɓɛdɛŋ ɓɛ ɓɛɛ tòtog ɓisi kìɓe ɓi nyoo ɓɛ ti ɓɛ kpaakpaà lɛ ɓìsii ti tì kalàg fɔlɔɔ; ɓumɓɛ̀n ɓɛ ri ki teɗ deɓ yi yi ghɛsɛɛ rì ɓɔ."
ROM.3.9,"Nni la min? Ɓìsi Ɓɛ̀yudɛ̀n tì cee nya ɓìlɔ̀ŋ ɓimbog? Tì cee ɓi ɓyɔ nsoò lɛsàg! Ɓisuulɛ tì mɛ rèsi lɛ kìɓe ki lamii ɓum ɓɛ̀cèm, nsoò Ɓɛ̀yudɛ̀n, nsoò ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n. "
ROM.3.10,"Lɔŋ yɛ̀ɛ ki ri kìkànɛn lɛ: Ŋwaà saaɗ à yin lɔŋ nsoò bog,"
ROM.3.11,"Ŋwaà ɗyomzɛ̀n kɛ̀ɛ ɓa, nsoò ŋwaà ǹkaakaayɛn Bɛ̀ll kɛ̀ɛ ghɛnɛn. Ɓɛ̀sɛ̀ɛ̀ ɓɛ̀cèm ɓɛ ri ɓɛ̀ ɗimɛn bee, ɓɔɔ̀cèm ɓɛ ɓa ɓɛ̀ɓùùsɛn."
ROM.3.12,"Ŋwaà ǹkìkiyɛn kirɔɔ, kɛ̀ɛ ɓa lɔŋ, nsoò bog."
ROM.3.13,"Ɓoŋ waà à rì yɛ̀ɛ zɔ̀ŋ ìnɛ ì rì kìbwaŋ, rìlemàg ɗyaa ɗyɛɛ̀ɗi ɓɛ ti ɓɛ pwaàghì ɓum miì, ìrɔg wu nyoo wɛɛ ti wu kpagìì ɓi ɓɛ̀ɓeeɓee ɓaa ɓɛ ŋwɔ̀m."
ROM.3.14,Myɔm maa mɛ roni rì ɓɛ̀nyɔ̀ma ɓɛ lòlolɛn.
ROM.3.15,Mɛ̀kòò maa mɛ fɛmɓɛ̀n ɓi rìkɛ̀n ɗi wolɛn mum.
